,Ave_Entropy,Start_Time,End_Time,Duration
0,6.094621995986979,0.6663734,1.032855,0.3664816000000001
1,5.838363146565279,1.232762,1.599259,0.3664970000000001
2,5.926848869783652,1.732531,2.509953,0.7774219999999998
3,5.991148241297262,2.987515,3.342901,0.35538599999999976
4,6.272101255941593,4.02037,4.720046,0.6996760000000002
5,5.828434584015991,6.174922,6.49699,0.3220680000000007
6,5.66860099348805,6.685802,7.962978,1.2771759999999999
7,5.553571016176242,8.218426,8.518287,0.2998610000000017
8,6.323885004834285,9.606667,10.32855,0.721883
9,6.419911483727513,10.95049,11.65017,0.699679999999999
10,5.622282501378927,13.93799,14.21565,0.2776600000000009
11,4.4126540420648706,14.98196,15.4373,0.45533999999999963
12,5.428864594181718,15.615,16.13697,0.5219700000000014
13,5.093023925200001,16.25913,16.58122,0.3220899999999993
14,5.452163889259501,17.02545,19.31329,2.287839999999999
15,6.518284294821897,19.50208,19.97964,0.47756000000000043
16,4.801315875670008,20.14623,21.0347,0.8884700000000016
17,5.5314198190913695,24.34429,29.08653,4.742239999999999
18,6.100285916355921,29.27534,30.84128,1.5659400000000012
19,5.596243420958675,31.03008,35.50578,4.4757
20,5.809701965024618,35.70569,37.06062,1.354930000000003
21,3.9900707416877403,37.37159,37.94909,0.5775000000000006
22,5.6180941785181755,38.22674,38.72651,0.49976999999999805
23,5.3724544543573165,38.92642,40.45904,1.5326200000000014
24,5.673312858834806,40.67006,42.01387,1.3438099999999977
25,4.9406870163331975,42.12494,50.8098,8.68486
26,6.16549971760416,51.05413,51.44284,0.3887099999999961
27,5.58225506977485,52.0981,53.19759,1.0994899999999959
28,5.874604878205904,53.49745,53.88615,0.38870000000000005
29,5.888047458120565,54.06385,55.28551,1.22166
30,3.7996737557184566,55.44098,56.90697,1.465989999999998
31,4.327377432233301,57.30679,57.63997,0.3331799999999987
32,4.771317930933576,57.86209,61.2383,3.3762100000000004
33,4.365811123959585,61.40489,61.67143,0.2665399999999991
34,4.571465968201961,61.88245,62.68208,0.7996300000000005
35,5.517383415966704,62.99305,63.37064,0.377590000000005
36,6.008571195039958,63.79268,64.22581,0.43312999999999846
37,6.009921227179742,64.49236,64.85886,0.36650000000000205
38,5.71861692129034,65.01433,65.20313,0.18880000000000052
39,5.7594097305945375,65.35863,67.69088,2.332250000000002
40,4.426596859834791,67.9241,68.42387,0.49976999999999805
41,5.731997795883958,68.61266,69.31234,0.6996800000000007
42,4.718905381483477,69.46782,70.40072,0.9329000000000036
43,5.697635588718163,71.01155,74.75427,3.7427200000000056
44,6.049730724715021,74.89864,75.3651,0.4664599999999979
45,5.736093859557516,75.60942,78.1638,2.5543799999999948
46,6.214324884241014,78.33038,79.06338,0.7329999999999899
47,6.018787659671204,79.59646,80.21841,0.6219500000000124
48,6.058366542678062,81.39563,82.48402,1.088390000000004
49,5.989956652338676,82.62839,85.02728,2.3988900000000086
50,5.873144559351197,85.2383,87.84821,2.6099099999999993
51,5.3715482664806835,89.32529,90.13602,0.8107300000000066
52,4.428386892687378,90.70243,91.31327,0.610839999999996
53,4.909179603994873,91.45763,91.71308,0.2554500000000104
54,4.2116256825346605,91.91299,92.60155,0.6885600000000096
55,5.533198323803918,92.92362,93.21239,0.2887699999999995
56,5.974326125675675,93.76768,94.25634,0.4886599999999959
57,5.7860971520806626,94.40072,95.11151,0.7107899999999887
58,5.9243177000229,95.31142,95.62237,0.3109500000000054
59,4.858084909915153,95.86671,98.18785,2.3211399999999998
60,5.661029368786912,98.38776,98.98748,0.5997200000000049
61,4.379084643348425,99.43172,101.3864,1.9546799999999962
62,5.051432525972865,101.7973,102.0416,0.24429999999999552
63,5.460885072944044,102.2304,103.8963,1.6658999999999935
64,5.286423229868977,104.1518,104.7293,0.5775000000000006
65,5.590399789265711,105.1624,105.5622,0.39979999999999905
66,5.184653193188422,106.8838,107.2614,0.37760000000000105
67,5.538575457305086,107.4502,107.9722,0.5220000000000056
68,4.828321069279346,108.5275,108.8718,0.34429999999998984
69,5.529041518576938,110.1934,110.4599,0.26650000000000773
70,5.975031202884217,112.0037,112.348,0.34430000000000405
71,5.422102392065088,112.5257,112.7811,0.2553999999999945
72,5.540845194665068,114.347,114.8468,0.49980000000000757
73,5.839676808037295,115.2799,115.5909,0.31100000000000705
74,6.382980712027528,115.7686,116.3905,0.6218999999999966
75,3.9730362857358523,117.9787,119.1337,1.1550000000000011
76,4.48077945119866,119.7334,120.4109,0.6774999999999949
77,4.785036542474641,120.9551,126.086,5.130899999999997
78,6.043341459250712,126.4525,127.552,1.0995000000000061
79,5.003911252524974,127.7075,128.3628,0.6552999999999969
80,5.728623038142769,128.907,129.2623,0.3552999999999997
81,5.1865859990891865,129.3401,130.7617,1.4215999999999838
82,5.63221789636102,130.9616,132.1721,1.2104999999999961
83,4.765795209509183,132.9495,133.2383,0.28880000000000905
84,5.219044201210916,133.9157,134.8375,0.9218000000000188
85,5.885159923565258,135.0486,135.4373,0.38870000000000005
86,4.26255478253879,136.0259,137.192,1.1661000000000001
87,5.756959885213525,138.2138,138.5469,0.33310000000000173
88,5.026435300462117,139.0689,142.9671,3.8981999999999744
89,5.330747537265602,143.4558,145.1883,1.7324999999999875
90,5.965050375281075,145.366,145.7991,0.43309999999999604
91,5.6331031380260175,145.9435,147.8315,1.8880000000000052
92,5.80753912636835,147.987,150.6302,2.6432000000000073
93,5.29918485434078,150.8746,151.7297,0.8551000000000215
94,5.943093448200316,151.9185,155.528,3.609499999999997
95,5.509916402024273,155.6945,156.3831,0.6886000000000081
