,Ave_Entropy,Start_Time,End_Time,Duration
0,6.134621642075634,0.9884297,1.354922,0.3664923
1,6.158852791057809,1.577034,1.86578,0.28874599999999995
2,5.597266974389271,2.554352,4.508974,1.954622
3,6.338779646809853,5.419657,5.752832,0.3331749999999998
4,5.011075399572038,5.974944,6.197055,0.22211099999999995
5,6.614138052998204,6.352547,6.685722,0.3331749999999998
6,4.905182622877193,6.896722,7.318754,0.42203200000000063
7,5.084115273989811,7.840724,8.429327,0.5886030000000009
8,6.1700378257632345,8.706979,9.106789,0.39980999999999867
9,5.286591620916323,9.739821,10.073,0.3331790000000012
10,5.826614573160738,11.29463,11.94989,0.6552600000000002
11,5.606528876686165,12.38301,13.63797,1.2549599999999987
12,5.6919747981885935,14.17105,15.84803,1.6769800000000004
13,5.688952873792695,16.52548,18.08031,1.554829999999999
14,6.473961713938359,18.36905,18.72443,0.35538000000000025
15,5.584942863619493,18.90213,21.07888,2.176750000000002
16,5.7884520804483754,21.22325,23.41111,2.1878600000000006
17,3.9804892201906923,23.64433,24.09966,0.45533
18,6.009302703107667,24.344,24.98812,0.6441199999999974
19,5.226391554326601,25.16582,26.66511,1.4992899999999985
20,5.653227038618158,26.82059,27.39809,0.5775000000000006
21,5.023956548437104,27.57579,29.17503,1.5992399999999982
22,5.663086045091475,29.99686,30.25229,0.25542999999999694
23,4.753824590272573,30.42999,30.68542,0.2554300000000005
24,5.360551719788786,30.91864,31.57389,0.6552499999999988
25,5.587597297032757,31.85153,33.37304,1.5215100000000028
26,4.993436372181397,33.57294,33.83948,0.2665399999999991
27,5.493398362541022,34.01717,34.50583,0.488660000000003
28,5.932931286485604,34.6391,35.17218,0.5330799999999982
29,6.085541098067944,35.48314,35.90517,0.42202999999999946
30,6.5787736637614485,36.68257,37.5155,0.8329300000000046
31,6.112514903943607,38.98148,39.68114,0.6996600000000015
32,6.007361411826245,40.55851,42.36876,1.8102500000000035
33,6.078355272700745,42.6353,42.87962,0.24432000000000187
34,6.083731863001588,43.94578,45.55613,1.610350000000004
35,6.199740118763079,45.72272,46.57787,0.8551499999999947
36,6.276028909514372,46.81108,47.49966,0.6885800000000017
37,5.131521814288854,47.75509,48.32149,0.5663999999999945
38,5.388770488528672,48.48808,48.81013,0.3220500000000044
39,5.425362471818925,49.07668,49.27658,0.19989999999999952
40,5.223747860722958,49.79856,51.29785,1.499289999999995
41,5.365911508470984,52.98594,54.04099,1.0550500000000014
42,4.763158075894062,54.18537,54.60738,0.4220100000000002
43,5.2959646650162675,54.82951,56.70638,1.8768700000000038
44,5.826506644203661,56.93961,58.13904,1.1994299999999996
45,5.61404490596283,58.29453,58.6277,0.3331699999999955
46,4.146439649421746,58.8387,59.14967,0.3109699999999975
47,5.517682054602897,59.31626,60.80444,1.4881799999999998
48,4.493991023782346,61.12651,61.61517,0.4886599999999959
49,5.27040824518903,61.81507,64.31388,2.498809999999999
50,6.526633812050077,64.66927,65.0913,0.42203000000000657
51,6.020292237056806,65.77985,66.19078,0.41093000000000757
52,5.2271098946814565,66.37957,67.34577,0.9662000000000006
53,5.778651684499634,67.49016,68.18983,0.6996699999999976
54,6.248686137881196,68.38973,68.8895,0.49976999999999805
55,5.617400472565253,69.12272,74.77557,5.652850000000001
56,6.554309048492096,75.01991,75.74178,0.7218700000000098
57,6.132981334618863,75.90837,76.11939,0.21101999999999066
58,6.389359284365461,76.35262,76.66357,0.3109500000000054
59,6.055308202058362,76.81906,77.2966,0.47754000000000474
60,5.167090003069019,77.52982,78.24059,0.7107699999999966
61,6.326825007487204,78.55157,79.21792,0.6663500000000084
62,5.657547692504884,79.46223,80.49508,1.0328499999999963
63,5.750207930577475,80.70609,82.28313,1.5770399999999967
64,6.1070185780300505,82.77177,83.09384,0.3220699999999965
65,6.045506547085064,83.27154,84.00452,0.7329799999999977
66,5.518874335353661,84.19332,85.04848,0.8551599999999979
67,5.921470716983805,85.21507,86.78099,1.5659200000000055
68,5.2599710749925315,86.9809,87.45844,0.4775399999999905
69,5.277660446995207,87.61393,88.5246,0.9106700000000103
70,4.987694131163686,88.65787,91.37881,2.720939999999999
71,5.87355058224471,91.55649,91.77862,0.22213000000000704
72,6.380993752918576,92.35611,92.78924,0.43313000000000557
73,5.303857582333012,93.76655,94.69944,0.9328900000000004
74,5.667747541474284,95.87667,96.55412,0.6774499999999932
75,4.627710257303067,96.78734,98.50875,1.7214100000000059
76,5.957845052381935,98.70866,99.70818,0.999520000000004
77,5.430756454624823,99.9525,100.741,0.7884999999999991
78,5.737374275713108,101.896,104.5503,2.654299999999992
79,6.128354522101186,105.1389,106.7937,1.6547999999999945
80,5.630291341087466,107.038,108.2375,1.1995000000000005
81,5.597730311168712,108.4263,108.9149,0.48860000000000525
82,5.645189881561549,109.0815,109.5479,0.46639999999999304
83,4.936878860252039,109.7589,110.5475,0.7886000000000024
84,4.988811652551819,111.336,111.6803,0.34430000000000405
85,5.348272352206411,111.8468,112.5021,0.6552999999999969
86,5.597739789229543,112.7908,113.1573,0.36650000000000205
87,5.687437263248679,113.3572,113.6238,0.26659999999999684
88,5.726437375342359,113.8681,114.1791,0.31100000000000705
89,5.464494703121706,114.3568,114.7455,0.38870000000000005
90,3.858801814470695,115.8005,116.267,0.46649999999999636
91,3.6383761593807433,117.7107,118.4326,0.7218999999999909
92,5.418055889881596,118.6769,119.832,1.1550999999999902
93,4.052119895618895,119.9874,120.3095,0.32210000000000605
94,5.608318626116098,120.5871,121.8643,1.2771999999999935
95,5.574619068513128,122.0198,122.7639,0.7441000000000031
